frmAudioEngine.frmAudioEngine	Audio Engine	音频引擎
REGISTRATION_SUBSCRIPTIONEXPIRED	Subscription has expired, please check your account and try again.	订阅已过期，请检查您的帐户，然后重试。
INPUT_LIMIT_REACHED	The Input Limit in this Edition has been reached. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	在这个版本中输入限制已经达到。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
CAPTURE_LIMIT_REACHED	The Capture Input Limit in this Edition has been reached. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	在这个版本中捕获输入已达到限制。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
RESOLUTION_LIMIT_EXCEEDED	The selected resolution is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	是不是在这个版本vMix支持所选择的分辨率。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
AVI_RECORDING_NOT_SUPPORTED	AVI Recording is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	AVI录制不在此版vMix的支持。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
WMV_RECORDING_NOT_SUPPORTED	WMV Recording and Streaming is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	WMV录制和流媒体是不是在这个版本vMix的支持。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
OVERLAY_LIMIT_REACHED	Multiple Overlays are not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	多个覆盖层未在此版vMix的支持。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
FEATURE_NOT_SUPPORTED	This feature is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	此功能不可用此版vMix的。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
MPG_RECORDING_NOT_SUPPORTED	MPEG Recording is not supported in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	MPEG记录不在此版vMix的支持。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
MULTICORDER_NOT_SUPPORTED	MultiCorder is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	MultiCorder不可在此版vMix的。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
INVALID_RECORDING_FILENAME_FORMAT	Invalid Recording Filename Format. Missing one or more required options or contains invalid characters.	记录文件名格式无效。缺少一个或多个所需的选项，或包含无效字符。
MULTICORDER_SELECT_INPUT	Highlight an Input first.	首先突出显示一个输入。
LIST_NOT_AVAILABLE	The List Input is not available in this Edition of vMix.{newline}Upgrade vMix to enable this feature.{newline}http://www.vmix.com/upgrade	该列表输入不可在此版vMix的。升级vMix启用此功能。 http://www.vmix.com/upgrade
MULTICORDER_NOT_CONFIGURED	MultiCorder has not been configured.	MultiCorder尚未配置。
REPLAY_NOT_SUPPORTED	Instant Replay is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	即时回放不可在此版vMix的。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
SCRIPTING_NOT_SUPPORTED	Scripting is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	脚本是不可用此版vMix的。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
PTZ_NOT_SUPPORTED	PTZ is not available in this Edition of vMix.{newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	云台无法使用这个版本vMix的。升级vMix使更多的功能。 http://www.vmix.com/upgrade
INPUT_TYPE_NOT_SUPPORTED	The selected Input Type is not supported.	所选择的输入类型不支持。
INPUT_FORMAT_NOT_SUPPORTED	File Format Not Supported.	文件格式不支持。
INPUT_LOAD_ERROR	Error Loading Input.	错误载入输入。
INPUT_NOT_FOUND	Could not find input.	无法找到输入。
DIRECT3D_SHADERS_NOT_SUPPORTED	vMix requires a Graphics Card that supports Pixel Shader 2.0 or higher.	vMix需要支持支持Pixel Shader 2.0或更高版本的图形卡。
DEVICE_NOT_READY	Device Not Ready	设备未就绪
NET_FRAMEWORK_35_REQUIRED	.NET Framework 3.5 SP1 is required to run this software.	NET Framework 3.5 SP1的。需要运行该软件。
CAPTURE_DEVICE_IN_USE	Capture Device is still in use, close any open programs and try again.	捕获设备仍然在使用中，关闭所有打开的程序，然后再试一次。
CAPTURE_DEVICE_LOAD_ERROR	Capture Device could not be loaded, please check the device and try again.	捕获设备无法加载，请检查设备，并再试一次。
INVALID_HANDLE	Invalid Handle.	无效处理。
INVALID_LENGTH	Invalid Length.	长度无效。
VIDEO_SYSTEM_NOT_COMPATIBLE_WITH_FORMAT	The selected Frame Rate is not compatible with this Recording Format.	选定的帧速率是不符合这个记录格式兼容。
CODEC_NOT_SUPPORTED	Codec Not Supported. Try different Output Format under Settings, Performance.	不支持的编解码器。尝试下设置不同的输出格式，性能。
CODEC_NOT_FOUND	A Video Codec has not been configured.	视频编解码器尚未配置。
DV_DOES_NOT_SUPPORT_HD	DV Video Encoder does not support recording to HD. Select another codec or choose the MPEG-2 or MP4 recording options.	DV视频编码器不支持刻录高清。选择其他的codec或者选择MPEG-2或MP4录制选项。
WEB_BROWSER_NOT_FOUND	Web Browser Could Not Be Found.	Web浏览器不能被发现。
DVD_FILES_MISSING	DVD Files Missing.	DVD文件丢失。
RENDERER_NOT_CONNECTED	Video could not be connected. Please make sure an appropriate video codec for this format is installed.	视频无法连接。请确保安装了一个适当的视频编解码器，这种格式是。
INVALID_RENDERER	Invalid Renderer.	无效渲染。
DVD_NOT_FOUND	DVD Could Not Be Found.	DVD无法被发现。
DVD_NAVIGATOR_NOT_FOUND	DVD Navigator Could Not Be Found.	DVD导航不能被发现。
DESKTOP_CAPTURE_SOURCE_NOT_AVAILABLE	Desktop Capture Source Is No Longer Available.	桌面捕获源不再可用。
AAC_AUDIO_FORMAT_NOT_SUPPORTED	The selected Audio Sample Rate and Channels are not supported by this Encoder.	选定的音频采样率和通道不支持这个编码器。
PRESET_NOT_FOUND	Preset Not Found.	预设未找到。
PRESET_LOAD_ERROR	Error Loading Preset.	错误载入预设。
PLAYLIST_LOAD_ERROR	PlayList Could Not Be Loaded.	播放列表无法被载入。
PLAYLIST_NOT_FOUND	PlayList could not be found.	播放列表无法被发现。
PLAYLIST_RUNNING	PlayList is currently running, please stop PlayList and try again.	播放列表是当前正在运行，请停止播放列表，然后再试一次。
PLAYLIST_INPUT_NOT_FOUND	PlayList Input Not Found.	没有找到播放列表输入。
PLAYLIST_ALREADY_EXISTS	PlayList name already exists.	播放列表的名称已经存在。
PLAYLIST_EMPTY	PlayList has not been configured.	播放列表尚未配置。
OUTPUT_POSITION_NOT_NUMERIC	Output Position Values must be Numeric.	输出位置值必须为数字。
OUTPUT_POSITION_WIDTH_HEIGHT_ZERO	Output Position Width and Height must be greater than zero.	输出位置的宽度和高度必须大于零。
INVALID_MEDIA_TYPE	Invalid Media Type.	无效的媒体类型。
INVALID_RESOLUTION	Invalid Resolution.	无效的决议。
SELECT_CAPTURE_DEVICE	Select Capture Device.	选择捕获设备。
SELECT_AUDIO_DEVICE	Select Audio Device.	选择音频设备。
QUICKTIME_INIT_ERROR	Error Initialising QuickTime.	初始化QuickTime的错误。
QUICKTIME_NOT_INSTALLED	QuickTime 7.6 or higher is not installed.	没有安装QuickTime 7.6或更高。
QUICKTIME_CONTEXT_ERROR	QuickTime Context Error.	QuickTime的上下文错误。
QUICKTIME_UNDEFINED_ERROR	Undefined QuickTime Error.	未定义的QuickTime错误。
FLASH_NOT_INSTALLED	Please install Adobe Flash Player for Internet Explorer to use this feature.	请安装Adobe Flash Player的Internet Explorer才能使用此功能。
INVALID_PORT	Invalid Port.	无效的端口。
INVALID_HOSTNAME	Invalid Hostname/IP.	无效的主机名/ IP。
INVALID_LATENCY	Invalid Latency.	无效延迟。
INVALID_PASS_PHRASE	Invalid Passphrase, must be between 10 and 79 characters.	无效的密码，必须在10到79个字符之间。
VC_H264_ENCODER_NOT_FOUND	H264 encoder could not be found on this PC.	在此PC上找不到H264编码器。
VC_HEVC_ENCODER_NOT_FOUND	HEVC encoder is not installed. This can be installed by searching for HEVC Video Extensions in the Windows 10 Microsoft Store.	未安装HEVC编码器。可以通过在Windows 10 Microsoft Store中搜索HEVC Video Extensions来安装它。
FILE_FORMAT_NOT_RECOGNISED	File Format Not Recognised.	文件格式不认可。
FILE_FORMAT_NEEDS_SOURCE_FILTER	Windows needs an additional component installed to play this file format.	Windows需要一个额外的组件安装到播放此文件格式。
FILE_FORMAT_NEEDS_HAALI_FILTER	Please install the Haali Media Splitter to play this file format.	播放此文件格式，请安装Haali的媒体分配器。
EMPTY_DIRECTORY	Directory Is Empty.	目录是空的。
RECORDING_UNEXPECTED_ERROR	Recording has stopped unexpectedly.	意外停止录制。
RECORDING_START_TIMED_OUT	Recording timed out waiting for first frame.	记录超时等待第一帧。
DVPIN_NOT_FOUND	DV Pin could not be found.	无法找到的DV引脚。
DVSPLITTERPIN_NOT_FOUND	DV Splitter Pin could not be found.	DV分配器引脚不能被发现。
HDVPIN_NOT_FOUND	HDV Pin could not be found.	HDV引脚不能被发现。
DVSPLITTER_NOT_FOUND	DV Splitter could not be found.	无法找到的DV分配器。
MPEG2DEMULTIPLEXER_NOT_FOUND	MPEG-2 Demultiplexer could not be found.	MPEG - 2解复用器可以不被发现。
POWERPOINT_OPEN_ERROR	Could not open PowerPoint presentation, make sure presentation is in correct format and PowerPoint is installed.	无法打开PowerPoint演示文稿，确保文稿是在正确的格式和PowerPoint安装。
VIDEO_DELAY_MEMORY_LIMIT	A maximum of 1GB of Buffer Memory (32GB under x64) is supported in this version of vMix.	支持最多1GB缓冲存储器（32GB）下64这vMix版本。
VIDEO_DELAY_NOT_ENOUGH_MEMORY	Not enough free memory to support this Buffer size.	没有足够的可用内存来支持这个缓冲区的大小。
VIDEO_DELAY_IN_USE	Only one Video Delay per Source may be used at a time.	只有每一个源视频延迟可以使用一次。
VIDEO_DELAY_SOURCE_NOT_FOUND	Video Delay Source Input could not be found.	视频延迟源输入找不到。
MPEG2_ENCODER_NOT_FOUND	Windows 7 or higher required for MPEG-2 support.	MPEG-2支持Windows 7或更高的要求。
MPEG2_BITRATE_NOT_COMPATIBLE_WITH_SIZE	The selected MPEG2 BitRate is not compatible with this resolution.	选定MPEG2比特率是不兼容的这项决议。
MPEG2_ENCODER_NOT_AVAILABLE	The MPEG-2 Encoder requires Windows Media Center to be installed on this version of Windows.	MPEG-2编码器需要安装此版本的Windows Windows媒体中心。
SHORTCUT_ALREADY_EXISTS	Shortcut Already Exists.	快捷键已经存在。
SHORTCUT_INVALID_FORMAT	Shortcut is in Invalid Format.	快捷方式是无效的格式。
SHORTCUT_SELECT_FUNCTION	Please select a Function.	请选择功能。
WEB_COULD_NOT_START	Web Controller could not start. The port may already be in use.	网络控制器无法启动。端口可能已被使用。
WEB_NOT_STARTED	The Web Controller has not been enabled. Please enable in settings and restart vMix.	该网络控制器尚未启用。请启用设置并重新启动vMix。
STOP_RECORDING	Stop Recording, External Output and Streaming before Opening a Preset.	打开一个预置之前停止录制，外部输出和流媒体。
NOT_SUPPORTED_UNDER_X64	This feature does not support 64bit.	此功能不支持64位。
COULD_NOT_IMPORT_SETTINGS	Could not import settings. Check the file format is correct.	无法导入设置。检查文件的格式是正确的。
COULD_NOT_EXPORT_SETTINGS	Could not export settings.	不能导出设置。
WASAPI_RECORDER_NOT_SUPPORTED	Audio Engine requires Windows 7 or higher.	音频引擎，Windows 7或更高的要求。
WASAPI_RECORDER_COULD_NOT_START	Audio Engine could not start. Please ensure a sound device has been installed.	音频引擎无法启动。请确保已安装声音设备。
WASAPI_REQUIRED	A connected Sound Card is required in this PC to use this Input.	一个连接声卡需要在这台电脑上使用此输入。
TALLY_COM_PORT_NOT_AVAILABLE	Tally Lights could not be loaded. COM Port is unavailable.	理货灯无法加载。 COM端口不可用。
TALLY_PREVIEW_NOT_NUMBER	Preview Pin is not a number.	预览pin不是一个数字。
TALLY_ACTIVE_NOT_NUMBER	Active Pin is not a number.	主动针是不是一个数字。
UI_THREAD	Invalid UI Thread.	无效的UI线程。
INPUT_KEY_IN_USE	Input Key is already in use.	输入键已在使用中。
TIMED_OUT	Timed Out waiting for a response.	超时等待响应。
INVALID_PARAMETERS	Invalid Parameters.	无效的参数。
CAPTURE_INTERLACED_SOURCE_REQUIRED	Interlaced Frame Rate required for this Deinterlacing method.	需要这种隔行扫描方式隔行扫描的帧速率。
CAPTURE_VIRTUALGENLOCK_REQUIRED	Virtual GenLock is required for this Deinterlacing method.	虚拟锁相需要这种隔行扫描方法。
CAPTURE_VMR_NOT_SUPPORTED	VMR not supported with this Deinterlacing method.	VMR不支持隔行扫描的方法与此。
CAPTURE_DOUBLE_FRAME_RATE_REQUIRED	Bob Deinterlace requires a System Frame Rate that is double the Interlaced Capture Frame Rate.	鲍勃·隔行扫描需要一个系统的帧速率是双重的隔行扫描捕获帧率。
CORRUPT	This program has been modified and will now exit.	此程序已被修改，将立即退出。
CORRUPT_CONFIGURATION	vMix has repaired a corrupt configuration file. Please restart vMix to complete the repair.	vMix已修复损坏的配置文件。请重新启动vMix完成修复。
AUDIO_DEVICE_IN_USE_INPUT	The selected Audio Device is already in use by an Input. Select a vMix Audio device instead.	选定的音频设备已在使用的输入。选择一个vMix音频设备。
AUDIO_DELAY_NOT_SUPPORTED	Audio Delay supports a value between -2000 and 2000 milliseconds.	音频延迟支持-2000年和2000年，单位为毫秒之间的一个值。
INVALID_IMAGE_FORMAT	Invalid Image Format.	无效的图像格式。
VIDEO_DELAY_SOURCE_NOT_READY	Video Source Not Ready.	视频源尚未就绪。
NAME_CANNOT_BE_EMPTY	Name cannot be empty.	名称不能为空。
RECORDING_NOT_ENOUGH_DISK_SPACE	There is not enough disk space to continue this recording.	没有足够的磁盘空间来继续这个记录。
RECORDING_DIRECTORY_NOT_FOUND	Recording directory could not be found. Please check that it exists and try again.	录制目录无法找到。请检查它是否存在，然后再试一次。
RECORDING_INVALID_FILENAME	Recording filename is invalid. Please check the filename and try again.	录音文件名无效。请检查文件名，然后再试一次。
LIST_REQUIRES_ONE_ITEM	List requires at least one item.	名单要求至少有一个项目。
MP4_SIZE_LIMIT	MP4 Recording has a maximum file size of 3.7GB under Windows 7	在Windows 7下，MP4录制的最大文件大小3.7GB
EXTERNAL_RENDERER_IN_USE_OR_NOT_COMPATIBLE	The selected External Renderer Device is in use or does not support the selected format. Please check your External Output settings and try again.	选择的外部渲染设备在使用或不支持选定的格式。请检查您的外部输出设置，然后再试一次。
SELECT_ITEM	Select an item in the list first.	在列表中先选择一个项目。
UYVY_REQUIRED	Output Format must be set to UYVY for this Device.	输出格式必须设置为UYVY此设备。
OUTPUT_FRAMERATE_MISMATCH	External Output Frame Rate must match vMix Frame Rate.	外部输出帧速率必须匹配vMix帧速率。
STREAMING_AUDIO_BITRATE_NOT_SUPPORTED	The selected Audio Master Bit Rate is not support (32bit), please change this to 16 bit PCM in vMix Settings under the Audio tab.	所选择的音频主控比特率是不支持（32位），请在音频选项卡下更改为16位PCM在vMix设置。
FFMPEG_RECORDING_FAILED	FFMPEG Recording failed. Check the log file for more information.	FFMPEG录制失败。检查日志文件以获取更多信息。
REPLAY_ALREADY_IN_USE	Instant Replay is already in use. Only one session can be open at a time.	即时回放已在使用。只有一个会话可以同时打开。
REPLAY_ERROR_SOURCE_CONFIGURATION	One or more Cameras could not be configured for Instant Replay.	一个或多个摄像机无法配置为即时重放。
REPLAY_MARK_VALUE_INVALID	Mark value must be in seconds between 1 and 30 seconds long.	标记值必须在1秒和30秒之间。
REPLAY_EVENT_NOT_FOUND	Instant Replay Event could not be found.	即时回放事件可能不会被发现。
REPLAY_SHORTCUT_VALUE_NOT_NEGATIVE	Replay Shortcut Value cannot be negative.	重播快捷值不能为负数。
REPLAY_ONE_CHANNEL	This version of Instant Replay supports one camera only. Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	此版本的即时回放仅支持一个摄像头。升级vMix，使更多的功能。 http://www.vmix.com/upgrade
REPLAY_SOURCE_ALREADY_IN_USE	Source is already in use.	源已被使用。
REPLAY_MULTICORDER_ERROR	Instant Replay and MultiCorder cannot be used at the same time.	即时回放和MultiCorder不能用于在同一时间。
REPLAY_64BIT_REQUIRED	Instant Replay requires the 64bit version of vMix.	即时回放要求vMix的64位版本。
FEATURE_64BIT_REQUIRED	This feature requires the 64bit (x64) version of vMix.	此功能需要vMix的64位（x64）的版本。
VIDEOCALL_NOT_SUPPORTED	vMix Call is not available in this Edition of vMix. {newline}Upgrade vMix to enable more features.{newline}http://www.vmix.com/upgrade	vMix电话无法使用这个版本vMix的。升级vMix使更多的功能。 http://www.vmix.com/upgrade
VIDEOCALL_SERVER_CONNECT_ERROR	Could not connect to vMix Call server, check your internet connection and try again.	无法连接到vMix呼叫服务器，请检查您的网络连接，然后再试一次。
VIDEOCALL_MAXIMUM_CALLS_REACHED	The maximum number of vMix Calls for this Edition has been reached. {newline}Upgrade vMix to enable additional calls.{newline}http://www.vmix.com/upgrade	vMix的最大数量呼唤这个版本已经达到了。升级vMix使更多的电话。 http://www.vmix.com/upgrade
VIDEOCALL_48_SAMPLE_RATE_REQUIRED	vMix Call requires the Audio Master Sample Rate to be 48000, this can be changed in the Audio tab under Settings	vMix调用需要音频主采样率是48000，这可以在音频选项卡设置下改变
VIDEOCALL_PASSWORD_NOT_FOUND	vMix Call Password is incorrect.	vMix呼叫密码不正确。
VIDEOCALL_INVALID_PASSWORD	Password must be at least 8 characters in length.	密码长度必须至少为8个字符。
VIDEOCALL_INVALID_NAME	Please enter a Name to identify yourself on this call.	请输入一个名称来标识自己在这个电话。
PRODUCTION_CLOCK_ALREADY_ADDED	Production Clocks Input has already been created. Only one can be active at a time.	生产时钟输入已经创建。一次只能有一个活动。
AUDIO_BUS_NOT_ENABLED	This Audio Bus needs to be enabled in Settings -> Audio Outputs first.	首先需要在设置 - >音频输出中启用此音频总线。
RECORDING_AUDIO_CHANNELS_NOT_SUPPORTED	This recording format does not support more than 2 Audio Channels.	此录制格式不支持2个以上的音频通道。
AUDIO_CHANNELS_NOT_SUPPORTED_6	This format does not support more than 6 Audio Channels.	此格式不支持超过6个音频通道。
AUDIO_CHANNELS_NOT_SUPPORTED_8_SRT	SRT does not support more than 8 Audio Channels.	SRT不支持超过8个音频通道。
AUDIO_CHANNELS_NOT_SUPPORTED_TOO_MANY	vMix supports a maximum of 16 Audio Channels per input.	vMix每个输入最多支持16个音频通道。
WINDOWS_ACCESS_DENIED	Windows has blocked access to this device. Check your Windows Privacy Settings to ensure Camera and Microphone access is enabled.	Windows已阻止访问此设备。检查Windows隐私设置以确保启用了摄像头和麦克风访问。
SELECT_INPUT	Please select an Input.	请选择一个输入。
SELECT_COPY_SOURCE	Please select one or more items to copy.	请选择一个或多个要复制的项目。
MIX_MAXIMUM_REACHED	A maximum of 3 Mix inputs can be added at the same time.	最多可以同时添加3个Mix输入。
EXTERNAL_OUTPUT_DEVICE_NOT_FOUND_1	Device not found or selected under Settings - External Output. Please check the settings and try again.	在“设置”“外部输出”下找不到或选择设备。请检查设置，然后重试。
EXTERNAL_OUTPUT_DEVICE_NOT_FOUND_2	Device not found or selected under Settings - External Output - External 2.{newline}Check the settings or if you are not using External 2, untick the External Renderer checkbox in the External 2 tab.	在“设置”“外部输出”“外部2”下找不到或选中设备。检查设置，或者如果您未使用“外部2”，请取消选中“外部2”选项卡中的“外部渲染器”复选框。
Start	Start	开始
Stop	Stop	停止
Basic	Basic	基本法
Advanced	Advanced	高级
Pause Rendering	Pause Rendering	暂停渲染
Resume Rendering	Resume Rendering	继续渲染
Translations provided by Google Translate	Translations provided by Google Translate	谷歌翻译提供的翻译
ToolTip.frmmain.cmdAudioMixer	Show or hide audio mixer pane	显示或隐藏音频混合器面板
ToolTip.frmmain.cmdPause	Pause all currently playing video inputs	暂停当前​​播放的所有视频输入
ToolTip.frmmain.UiFader1	Manual fade using first transition effect. (T-Bar)	手动淡出先使用过渡效果。 （T-酒吧）
ToolTip.frmmain.cmdFTB	Toggle fade to black on Output	切换黑渐变的输出
ToolTip.frmmain.cmdRecSetup	Configure Recording	配置记录
ToolTip.frmmain.cmdRecStartStop	Start or stop Recording	开始或停止记录
ToolTip.frmmain.cmdExternal	Configure External Output source	配置外部输出源
ToolTip.frmmain.cmdDeckLinkRender	Start or stop External Output	启动或停止外部输出
ToolTip.frmmain.cmdDeckLinkInfo	View External Output statistics	查看外部输出统计
ToolTip.frmmain.cmdRecInfo	View Recording statistics	查看记录统计
ToolTip.frmmain.cmdStreamingSetup	Configure Streaming settings	配置流媒体设置
ToolTip.frmmain.cmdStreaming	Start or stop Streaming	启动或停止流
ToolTip.frmmain.cmdPlayListSetup	Configure a PlayList of Inputs	配置输入的播放列表
ToolTip.frmmain.cmdPlaylist	Start or Stop a PlayList of Inputs	启动或停止输入的播放列表
ToolTip.frmmain.cmdMultiCorderSetup	Configure recording of multiple camera inputs	配置记录多路摄像机输入
ToolTip.frmmain.cmdMultiCorderStartStop	Start or Stop MultiCorder	启动或停止MultiCorder
ToolTip.frmmain.cmdOverlaySettings	Configure overlay settings	配置覆盖设置
ToolTip.frmmain.cmdStatistics	View performance statistics	查看性能统计信息
ToolTip.frmmain.cmdShortcuts	View shortcuts	查看快捷键
ToolTip.frmmain.cmdPhoto	Take image snapshot of Output	以输出图像快照
ToolTip.frmmain.cmdLock	Lock or unlock buttons such as Close and Start/Stop Recording	锁定或解锁，如关闭和启动/停止录制按钮
ToolTip.frmmain.cmdInputsAll	Show all Inputs	显示所有输入
ToolTip.frmmain.cmdInputsGreen	Show Inputs assigned to Green category	分配给绿色类别显示输入
ToolTip.frmmain.cmdInputsRed	Show Inputs assigned to Red category	分配给红类别显示输入
ToolTip.frmmain.cmdInputsPurple	Show Inputs assigned to Purple category	分配给紫类别显示输入
ToolTip.frmmain.cmdInputsOrange	Show Inputs assigned to Orange category	分配给橙类节目输入
ToolTip.frmmain.cmdInputsBlue	Show Inputs assigned to Blue category	分配给蓝类别显示输入
ToolTip.frmmain.cmdInputsAqua	Show Inputs assigned to Aqua category	分配给水族类节目输入
ToolTip.frmmain.cmdInputsSearch	Show Inputs with titles matching category text	显示标题与类别文本匹配的输入
ToolTip.frmmain.cmdScreen	Toggle on or off the Fullscreen Output display	打开或关闭全屏显示输出
ToolTip.frmmain.cmdQuickPlay	Transition from Preview to Output using the Transition effect configured in Settings	使用过渡效果过渡，从预览输出配置设置
ToolTip.frmmain.cmdAdvanced	Toggle the display of advanced buttons within the vMix main window	在vMix主窗口中切换先进的按钮的显示
ToolTip.frmmain.cmdHelp	Browse Online Help	浏览在线帮助
ToolTip.frmmain.cmdRestart	Restart the selected Input	重新启动所选择的输入
ToolTip.frmmain.cmdRestartM	Restart the selected Input	重新启动所选择的输入
ToolTip.frmmain.cmdPlayM	Play or Pause the selected Input	播放或暂停选定的输入
ToolTip.frmmain.cmdPlay	Play or Pause the selected Input	播放或暂停选定的输入
ToolTip.frmmain.cmdAddInput	Add a new Input such as a Video, Camera or Image	添加一个新的输入，如摄像机，照相机或图片
ToolTip.frmmain.Input.cmdSelect	Toggle on or off audio for this Input	打开或关闭音频输入这个
ToolTip.frmmain.Output.cmdSelect	Toggle on or off audio for this Output	打开或关闭音频输出本
ToolTip.frmmain.Input.cmdFollow	Toggle automatic audio mixing for this Input	切换自动混音此输入
ToolTip.frmmain.Output.cmdFollow	Show Performance Statistics for Audio Mixer	显示性能统计数据的音频混合器
ToolTip.frmmain.cmdSolo	Solo this Input for monitoring on Headphones	这独奏的输入耳机监控
ToolTip.frmmain.cmdSettings	Configure audio settings such as Gain and Compression	配置音频设置，例如增益压缩和
ToolTip.frmmain.cmdBusA	Send this Inputs audio to	发送该输入音频
ToolTip.frmmain.cmdBusB	Send this Inputs audio to	发送该输入音频
ToolTip.frmmain.cmdBusM	Send this Inputs audio to	发送该输入音频
ToolTip.frmmain.cmdSendToMaster	Send this Bus Mix to Master	将此巴士混音发送给主人
ToolTip.frmmain.iClose	Close this Input	关闭此输入
ToolTip.frmmain.iQuickPlay	Transition this Input directly to Output using the QuickPlay effect	直接过渡这个输入到输出的使用效果的QuickPlay
ToolTip.frmmain.iCut	Switch this Input directly to Output	直接切换这个输入到输出
ToolTip.frmmain.iLoop	Enable looping of this Input when it has finished playing	启用循环该输入时，它已经播放完毕
ToolTip.frmmain.iPlayPause	Play or pause this Input	播放或暂停该输入
ToolTip.frmmain.iOverlay1	Turn on or off this Input as an Overlay using the Overlay1 transition effect	打开或关闭此输入为使用Overlay1过渡效果的叠加
ToolTip.frmmain.iOverlay2	Turn on or off this Input as an Overlay using the Overlay2 transition effect	打开或关闭此输入为使用Overlay2过渡效果的叠加
ToolTip.frmmain.iOverlay3	Turn on or off this Input as an Overlay using the Overlay3 transition effect	打开或关闭此输入为使用Overlay3过渡效果的叠加
ToolTip.frmmain.iOverlay4	Turn on or off this Input as an Overlay using the Overlay4 transition effect	打开或关闭此输入为使用Overlay4过渡效果的叠加
ToolTip.frmmain.iAudio	Turn on or off the audio on this Input	打开或关闭上此输入音频
ToolTip.frmmain.iPreview	Display a large preview of this Input. Click the preview to close when done	显示此输入大预览。点击预览关闭时完成
ToolTip.frmmain.iConfigure	Configure various Input settings	配置各种输入法设置

